year,ifs,cowcode,country.x,police,polity2_P4,additive_FA,additive_FA_lagged,gdp_WDI_log10,gdp_WDI,pop_WDI_log10,pop_WDI,cameo_protests,trade_WDI,lji_LS,repress_index,repress_index_lagged,geocode,countryname,auton,author
1995,BEN,434,Benin,1,6,8,6,9.571831602,3731054577,6.771260939,5905558,0,63.80014001,0.485000014,0,2,Benin,Benin,0,1
1995,BGD,771,Bangladesh,1,6,3,3,10.72373175,52933639391,8.061339103,115169930,58,28.20949608,0.475800008,5,5,Bangladesh,Bangladesh,0,0
1995,BGR,355,Bulgaria,1,8,5,4,10.50230329,31790934141,6.924592847,8406067,4,55.59586718,0.602599978,3,4,Bulgaria,Bulgaria,0,0
1995,BHR,692,Bahrain,1,-9,4,6,10.09169485,12350793085,5.751045724,563697,2,152.4643154,0.236000001,4,2,Bahrain,Bahrain,0,0
1995,BRA,140,Brazil,1,8,2,4,12.14102939,1380000000000,8.209568349,162019896,3,16.98446,0.555599988,6,4,Brazil,Brazil,0,1
1995,BWA,571,Botswana,1,7,6,7,9.82276557,6649141424,6.167073234,1469174,0,94.59517165,0.756299973,2,1,Botswana,Botswana,0,1
1995,CAF,482,Central African Republic,1,5,5,5,9.157871945,1438374401,6.50821395,3222656,0,50.47589112,0.28549999,3,3,Central African Republic,Cent. Af. Rep.,0,0
1995,CAN,20,Canada,0,10,8,7,12.00686379,1020000000000,7.466901873,29302311,15,69.28235298,0.981700003,0,1,Canada,Canada,0,1
1995,CHL,155,Chile,1,8,4,5,11.06110928,115000000000,7.15778504,14380866,7,54.96715328,0.656700015,4,3,Chile,Chile,0,0
1995,CIV,437,Cote D<U+0092>Ivoire,1,-6,1,4,10.2812239,19108381523,7.152281065,14199762,29,76.20234391,0.274100006,7,4,Ivory Coast,Cote d'Ivoire,0,0
1995,COL,100,Colombia,1,7,0,0,11.26464313,184000000000,7.561357089,36421438,1,35.49723032,0.530300021,8,8,Colombia,Colombia,0,1
1995,CUB,40,Cuba,0,-7,3,3,10.4916152,31018100930,7.036958164,10888252,3,29.30841762,0.038400002,5,5,Cuba,Cuba,0,0
1995,CZE,316,Czech Republic,0,10,5,6,11.14312726,139000000000,7.013984817,10327253,2,83.8949552,0.915600002,3,2,Czech Republic,Czech Rep.,0,1
1995,DEU,255,German Federal Republic,0,10,8,8,12.45347582,2840000000000,7.912105366,81678051,0,43.58163421,0.977100015,0,0,Germany,FRG/Germany,0,1
1995,DOM,42,Dominican Republic,1,5,4,2,10.40031129,25136875214,6.893164932,7819247,2,73.89795938,0.418099999,4,6,Dominican Republic,Dom. Rep.,0,0
1995,ECU,130,Ecuador,1,9,5,6,10.64362761,44017726512,7.059002828,11455204,2,45.91127073,0.539499998,3,2,Ecuador,Ecuador,0,0
1995,EGY,651,Egypt,1,-6,4,3,11.01439452,103000000000,7.794725234,62334034,5,50.24509804,0.376700014,4,5,Egypt,Egypt,0,0
